N, Time, Prime
234000, 0.010314, 3256423
235000, 0.010022, 3271277
236000, 0.010336, 3286331
237000, 0.010032, 3301591
238000, 0.011155, 3316427
239000, 0.010601, 3331423
240000, 0.010662, 3346601
241000, 0.011042, 3362159
242000, 0.011073, 3376991
243000, 0.010526, 3391831
244000, 0.010747, 3406801
245000, 0.010400, 3421751
246000, 0.011341, 3436571
247000, 0.010827, 3451229
248000, 0.011061, 3466829
249000, 0.010709, 3482333
250000, 0.011028, 3497861
251000, 0.011027, 3512869
252000, 0.013737, 3528403
253000, 0.014182, 3543791
254000, 0.011936, 3558913
255000, 0.012078, 3573877
256000, 0.011791, 3588941
257000, 0.012053, 3604121
258000, 0.011362, 3618497
259000, 0.011565, 3633347
260000, 0.011421, 3648923
261000, 0.011651, 3664351
262000, 0.011285, 3678931
263000, 0.011744, 3694217
264000, 0.011374, 3709073
265000, 0.012344, 3724223
266000, 0.012240, 3738937
267000, 0.012559, 3754087
268000, 0.012267, 3769763
269000, 0.012440, 3784943
270000, 0.012120, 3800201
271000, 0.012471, 3815209
272000, 0.012130, 3830003
273000, 0.012662, 3845273
274000, 0.012235, 3860347
275000, 0.012501, 3875827
276000, 0.013257, 3890969
277000, 0.015091, 3906319
278000, 0.014074, 3921217
279000, 0.014619, 3936301
280000, 0.013525, 3951161
281000, 0.014348, 3967043
282000, 0.015287, 3981883
283000, 0.016044, 3997859
284000, 0.014924, 4012847
285000, 0.018191, 4027913
286000, 0.015167, 4042729
287000, 0.015600, 4057967
288000, 0.015146, 4073233
289000, 0.015640, 4088237
290000, 0.015424, 4103629
291000, 0.016816, 4119053
292000, 0.016717, 4134629
293000, 0.016933, 4149889
294000, 0.014817, 4164637
295000, 0.014870, 4180097
296000, 0.015837, 4195057
297000, 0.016268, 4210253
298000, 0.015286, 4225457
299000, 0.014167, 4241099
300000, 0.013837, 4256233
301000, 0.014209, 4271581
302000, 0.014279, 4287253
303000, 0.016557, 4302631
304000, 0.014448, 4317823
305000, 0.014631, 4333097
306000, 0.014042, 4348691
307000, 0.014293, 4364111
308000, 0.014107, 4379467
309000, 0.015056, 4394783
310000, 0.014529, 4410317
311000, 0.015181, 4425107
312000, 0.014404, 4440041
313000, 0.014531, 4455043
314000, 0.014761, 4470287
315000, 0.014636, 4485479
316000, 0.014847, 4500731
317000, 0.016975, 4516231
318000, 0.016852, 4531811
319000, 0.020021, 4547239
320000, 0.018133, 4562693
321000, 0.018062, 4577927
322000, 0.018298, 4593089
323000, 0.017493, 4608493
324000, 0.015047, 4623793
325000, 0.018883, 4639267
326000, 0.015827, 4654697
327000, 0.016410, 4670207
328000, 0.015474, 4685257
329000, 0.016862, 4700473
330000, 0.018385, 4716053
331000, 0.018470, 4731271
332000, 0.016505, 4746551
333000, 0.016225, 4762099
334000, 0.016619, 4777723
335000, 0.016072, 4793237
336000, 0.015170, 4808369
337000, 0.015494, 4823821
338000, 0.016567, 4838963
339000, 0.016585, 4854623
340000, 0.017188, 4869863
341000, 0.019061, 4885339
342000, 0.018255, 4900099
343000, 0.016910, 4915571
344000, 0.015722, 4930963
345000, 0.015894, 4946231
346000, 0.015704, 4961707
347000, 0.016132, 4976899
348000, 0.017389, 4991843
349000, 0.016815, 5007593
350000, 0.016482, 5023307
351000, 0.016142, 5038793
352000, 0.015821, 5054249
353000, 0.016505, 5069663
354000, 0.019756, 5084999
355000, 0.017457, 5100587
356000, 0.016660, 5116141
357000, 0.016977, 5131541
358000, 0.016179, 5146763
359000, 0.016500, 5162387
360000, 0.016259, 5178049
361000, 0.016921, 5193751
362000, 0.016482, 5208887
363000, 0.016667, 5224451
364000, 0.016454, 5239777
365000, 0.019073, 5254859
366000, 0.017760, 5270521
367000, 0.019777, 5286331
368000, 0.018474, 5301481
369000, 0.018113, 5316973
370000, 0.017393, 5332519
371000, 0.017637, 5347789
372000, 0.017791, 5363461
373000, 0.017507, 5378921
374000, 0.019987, 5394401
375000, 0.018154, 5410121
376000, 0.017677, 5425517
377000, 0.017777, 5440889
378000, 0.017333, 5456533
379000, 0.017778, 5472031
380000, 0.017346, 5487701
381000, 0.018287, 5503133
382000, 0.018122, 5518847
383000, 0.019541, 5534677
384000, 0.019179, 5550287
385000, 0.018271, 5566073
386000, 0.019256, 5581397
387000, 0.018754, 5596937
388000, 0.017838, 5612441
389000, 0.018354, 5628257
390000, 0.018237, 5644031
391000, 0.018443, 5659751
392000, 0.018198, 5675381
393000, 0.018492, 5690941
394000, 0.018257, 5706079
395000, 0.019784, 5721481
396000, 0.018778, 5737393
397000, 0.018602, 5752739
398000, 0.018963, 5768663
399000, 0.018989, 5784439
400000, 0.019335, 5800079
401000, 0.019002, 5815519
402000, 0.018550, 5831387
403000, 0.018823, 5846957
404000, 0.018651, 5862617
405000, 0.019067, 5878123
406000, 0.021618, 5893357
407000, 0.019836, 5908739
408000, 0.019244, 5923901
409000, 0.019166, 5939371
410000, 0.019035, 5955031
411000, 0.019396, 5970803
412000, 0.021198, 5986613
413000, 0.022298, 6002371
414000, 0.023876, 6017647
415000, 0.021396, 6033101
416000, 0.019648, 6049411
417000, 0.022035, 6064897
418000, 0.021208, 6080443
419000, 0.020442, 6096271
420000, 0.020420, 6111613
421000, 0.020238, 6127403
422000, 0.021049, 6142987
423000, 0.022755, 6158507
424000, 0.021559, 6174017
425000, 0.021818, 6190007
426000, 0.021129, 6205427
427000, 0.021977, 6221543
428000, 0.022464, 6237019
429000, 0.023466, 6252901
430000, 0.024109, 6268289
431000, 0.024510, 6283583
432000, 0.023081, 6298811
433000, 0.024611, 6314699
434000, 0.023419, 6329927
435000, 0.024350, 6345763
436000, 0.023586, 6361657
437000, 0.022956, 6377773
438000, 0.021704, 6393787
439000, 0.021471, 6409297
440000, 0.020838, 6424937
441000, 0.022386, 6441031
442000, 0.024052, 6456509
443000, 0.024525, 6472309
444000, 0.021890, 6488249
445000, 0.022504, 6503507
446000, 0.021255, 6519329
447000, 0.021761, 6535099
448000, 0.021639, 6550741
